,Overall ACC,Overall RACCU,Overall RACC,Kappa,Gwet AC1,Bennett S,Kappa Standard Error,Kappa Unbiased,Scott PI,Kappa No Prevalence,Kappa 95% CI,Standard Error,95% CI,Chi-Squared,Phi-Squared,Cramer V,Response Entropy,Reference Entropy,Cross Entropy,Joint Entropy,Conditional Entropy,Mutual Information,KL Divergence,Lambda B,Lambda A,Chi-Squared DF,Overall J,Hamming Loss,Zero-one Loss,NIR,P-Value,Overall CEN,Overall MCEN,Overall MCC,RR,CBA,AUNU,AUNP,RCI,Pearson C,TPR Micro,TPR Macro,CSI,ARI,TNR Micro,TNR Macro,Bangdiwala B,Krippendorff Alpha,FPR Macro,FNR Macro,PPV Macro,ACC Macro,F1 Macro,FPR Micro,FNR Micro,PPV Micro,F1 Micro,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,BM,MK,PLR,NLR,DOR,TP,TN,FP,FN,POP,P,N,TOP,TON,PRE,G,RACC,F0.5,F2,ERR,RACCU,J,IS,CEN,MCEN,AUC,sInd,dInd,DP,Y,GI,LS,AM,BCD,OP,IBA,GM,Q,AGM,AGF,OC,OOC,AUPR,ICSI,HD,BB
0,0.805952381,0.504689864,0.50373423,0.608336903,0.616348976,0.611904762,0.0489917,0.607314734,0.607314734,0.611904762,0.704360635,0.024290908,0.853562561,94.88397604,0.42264445,0.610199232,0.989376818,0.994258671,0.99986667,1.62907843,0.634819759,0.354557059,0.005607998,0.559764497,0.571325063,1,0.687934283,0.194047619,43.6,0.536960317,0.000129861,0.590655037,0.460906466,0.610199232,112.3,0.775159889,0.804061132,0.804061132,0.355704245,0.500720254,0.805952381,0.804061132,0.610224209,0.421425999,0.805952381,0.804061132,0.666853572,0.608188598,0.195938868,0.195938868,0.806163077,0.805952381,0.803657367,0.194047619,0.194047619,0.805952381,0.805952381,0.837961092,0.770161173,0.811926486,0.800399668,0.162038908,0.229838827,0.188073514,0.199600332,0.805952381,0.823746131,0.610199232,0.608122264,0.612326154,6.529874688,0.233817394,134.7636946,100.4,80.6,23.6,20,224.6,120.4,104.2,124,100.6,0.536071429,0.824344613,0.29597029,0.816371854,0.831981442,0.194047619,0.296448107,0.71293598,0.591185509,0.564298825,0.729151606,0.804061132,0.798921768,0.284367563,0.812787459,0.608122264,0.608122264,1.522030587,3.6,0.019587302,0.756995837,0.698662971,0.802577421,0.834329029,0.792177026,0.812201216,0.853003827,0.824344613,0.824943789,0.649887577,43.6,0.796883751
1,0.820047619,0.50537493,0.504394523,0.637290159,0.643984663,0.640095238,0.049535611,0.636070353,0.636070353,0.640095238,0.734379956,0.024562874,0.868190853,98.16179825,0.436865507,0.638901775,0.986230909,0.995326578,1.001176474,1.630100838,0.634774259,0.35145665,0.005849895,0.58151584,0.617272664,1,0.701473869,0.179952381,40.4,0.536039683,1.71E-08,0.590096215,0.461716819,0.638901775,112.3,0.802648617,0.818093951,0.818093951,0.353724426,0.526704401,0.820047619,0.818093951,0.638935263,0.436320919,0.820047619,0.818093951,0.684148131,0.636880883,0.181906049,0.181906049,0.820841312,0.820047619,0.818035176,0.179952381,0.179952381,0.820047619,0.820047619,0.851984371,0.784203531,0.821093703,0.820588921,0.148015629,0.215796469,0.178906297,0.179411079,0.820047619,0.835423999,0.638901775,0.636187902,0.641682624,5.262451838,0.204173313,44.57062058,102.8,81.4,22.8,17.6,224.6,120.4,104.2,125.6,99,0.536039683,0.835980505,0.29983615,0.826592575,0.845054521,0.179952381,0.300326354,0.724783941,0.606212932,0.562618297,0.747501004,0.818093951,0.81342456,0.263857517,0.780586808,0.636187902,0.636187902,1.529030802,5.2,0.011599206,0.773917625,0.711325041,0.81615389,0.876141267,0.805928114,0.828304787,0.851984371,0.835980505,0.836539037,0.673078074,40.4,0.821093703
2,0.814738095,0.5056483,0.504331825,0.627022412,0.633224875,0.62947619,0.049558874,0.625606586,0.625606586,0.62947619,0.724157806,0.024578017,0.862911009,97.14699566,0.432419399,0.62955197,0.987307561,0.992503392,1.000244643,1.627849335,0.635345943,0.351961618,0.007741251,0.576372969,0.600234398,1,0.696026526,0.185261905,41.6,0.540551587,2.59E-07,0.589126227,0.459976929,0.62955197,112.3,0.784333888,0.814063156,0.814063156,0.355080536,0.518035163,0.814738095,0.814063156,0.629575574,0.430629554,0.814738095,0.814063156,0.677846563,0.62644025,0.185936844,0.185936844,0.815512417,0.814738095,0.812803293,0.185261905,0.185261905,0.814738095,0.814738095,0.847680272,0.780446041,0.815986044,0.815038791,0.152319728,0.219553959,0.184013956,0.184961209,0.814738095,0.830142145,0.62955197,0.628126312,0.631024835,5.158848301,0.21310994,63.68524954,102,81,23.2,18.4,224.6,120.4,104.2,125.2,99.4,0.536107143,0.83098624,0.298919881,0.821287995,0.840208626,0.185261905,0.299578118,0.719527813,0.598455576,0.561572803,0.737926891,0.814063156,0.808157702,0.271305979,0.794670683,0.628126312,0.628126312,1.524128238,4.8,0.019575397,0.769623215,0.710424306,0.812277515,0.862171379,0.801821973,0.823157802,0.860540859,0.83098624,0.831833158,0.663666316,41.6,0.803125457
3,0.867246032,0.505684496,0.505563543,0.728657187,0.739911032,0.734492063,0.043569958,0.728614345,0.728614345,0.734492063,0.814054304,0.021457856,0.909303429,126.0793204,0.561185774,0.729059727,0.990424937,0.992722733,0.993424825,1.515352647,0.522629915,0.467795022,0.000702093,0.692262347,0.697992057,1,0.771059987,0.132753968,29.8,0.536099206,0.000108897,0.484655756,0.384094885,0.729059727,112.3,0.852474477,0.863968261,0.863968261,0.46911122,0.577362432,0.867246032,0.863968261,0.729061532,0.563429619,0.867246032,0.863968261,0.763538352,0.729218859,0.136031739,0.136031739,0.865093272,0.867246032,0.864307172,0.132753968,0.132753968,0.867246032,0.867246032,0.883996051,0.84394047,0.877837955,0.852348588,0.116003949,0.15605953,0.122162045,0.147651412,0.867246032,0.88071315,0.729059727,0.727936522,0.730186543,9.888342702,0.15198683,107.3811422,106,88.8,15.4,14.4,224.6,120.4,104.2,121.4,103.2,0.536099206,0.880815066,0.291095263,0.878939004,0.882634032,0.132753968,0.29115574,0.792092471,0.709974829,0.462232871,0.647417003,0.863968261,0.860581861,0.197167023,0.973697298,0.727936522,0.727936522,1.65084817,1,0.006678571,0.831321822,0.775366915,0.863137364,0.920673469,0.857480764,0.865981967,0.892446076,0.880815066,0.880917003,0.761834006,29.8,0.869387931
4,0.815678571,0.503584482,0.502991444,0.628686584,0.634461255,0.631357143,0.050086331,0.628144061,0.628144061,0.631357143,0.726855792,0.024880805,0.86444495,95.33174418,0.424473098,0.630015831,0.9951338,0.992766682,0.996225229,1.645281683,0.652515001,0.342618799,0.003458547,0.598101706,0.596213776,1,0.695109321,0.184321429,41.4,0.536130952,7.08E-06,0.601441337,0.470041196,0.630015831,112.3,0.791696235,0.815342854,0.815342854,0.344355527,0.521801628,0.815678571,0.815342854,0.630029072,0.422947348,0.815678571,0.815342854,0.675503331,0.628971869,0.184657146,0.184657146,0.814686218,0.815678571,0.814072031,0.184321429,0.184321429,0.815678571,0.815678571,0.832686128,0.79799958,0.827287776,0.802084661,0.167313872,0.20200042,0.172712224,0.197915339,0.815678571,0.829192952,0.630015831,0.630685708,0.629372437,5.485129428,0.222901578,44.28913879,100,83.2,21,20.4,224.6,120.4,104.2,121,103.6,0.536130952,0.829589803,0.288930246,0.827860827,0.831096208,0.184321429,0.289226765,0.715033243,0.622126376,0.57833167,0.763803674,0.815342854,0.81300687,0.264448221,0.768977258,0.630685708,0.630685708,1.547504679,0.6,0.014696429,0.789307661,0.692318162,0.814853361,0.871379837,0.809309791,0.815527209,0.851833882,0.829589803,0.829986952,0.659973904,41.4,0.808140022
5,0.814738095,0.5056483,0.504331825,0.627022412,0.633224875,0.62947619,0.049558874,0.625606586,0.625606586,0.62947619,0.724157806,0.024578017,0.862911009,97.14699566,0.432419399,0.62955197,0.987307561,0.992503392,1.000244643,1.627849335,0.635345943,0.351961618,0.007741251,0.576372969,0.600234398,1,0.696026526,0.185261905,41.6,0.540551587,2.59E-07,0.589126227,0.459976929,0.62955197,112.3,0.784333888,0.814063156,0.814063156,0.355080536,0.518035163,0.814738095,0.814063156,0.629575574,0.430629554,0.814738095,0.814063156,0.677846563,0.62644025,0.185936844,0.185936844,0.815512417,0.814738095,0.812803293,0.185261905,0.185261905,0.814738095,0.814738095,0.847680272,0.780446041,0.815986044,0.815038791,0.152319728,0.219553959,0.184013956,0.184961209,0.814738095,0.830142145,0.62955197,0.628126312,0.631024835,5.158848301,0.21310994,63.68524954,102,81,23.2,18.4,224.6,120.4,104.2,125.2,99.4,0.536107143,0.83098624,0.298919881,0.821287995,0.840208626,0.185261905,0.299578118,0.719527813,0.598455576,0.561572803,0.737926891,0.814063156,0.808157702,0.271305979,0.794670683,0.628126312,0.628126312,1.524128238,4.8,0.019575397,0.769623215,0.710424306,0.812277515,0.862171379,0.801821973,0.823157802,0.860540859,0.83098624,0.831833158,0.663666316,41.6,0.803125457
6,0.782781746,0.505042097,0.504368777,0.562015707,0.569716162,0.565563492,0.053716344,0.561281073,0.561281073,0.565563492,0.66729974,0.026627261,0.834971178,77.26441347,0.3441405,0.563270884,0.991233069,0.992219088,0.996138601,1.711493332,0.719274243,0.271958826,0.003919513,0.514588502,0.524117951,1,0.648485703,0.217218254,48.8,0.54052381,3.85E-07,0.666066397,0.518342343,0.563270884,112.3,0.758727185,0.781404227,0.781404227,0.27396272,0.479603362,0.782781746,0.781404227,0.563279806,0.343844374,0.782781746,0.781404227,0.623867328,0.562257493,0.218595773,0.218595773,0.781875579,0.782781746,0.780640537,0.217218254,0.217218254,0.782781746,0.782781746,0.811823478,0.750984976,0.79029741,0.773453748,0.188176522,0.249015024,0.20970259,0.226546252,0.782781746,0.800180725,0.563270884,0.562808454,0.563751158,3.987851667,0.264999073,27.16242363,97.6,78.2,26,22.8,224.6,120.4,104.2,123.6,101,0.536071429,0.800620258,0.295357008,0.794051144,0.806942501,0.217218254,0.295693667,0.673691045,0.555884277,0.638321591,0.820565749,0.781404227,0.778602319,0.313103602,0.654709792,0.562808454,0.562808454,1.47863281,3.2,0.015136905,0.742469827,0.651528901,0.780512105,0.824060134,0.770985258,0.787235137,0.822748268,0.800620258,0.801060444,0.602120888,48.8,0.77937262
7,0.853,0.507267642,0.50600702,0.703974578,0.709274601,0.706,0.045778444,0.70255925,0.70255925,0.706,0.793700329,0.022655152,0.897404098,117.0022266,0.52078996,0.706256036,0.984644155,0.990618403,0.998005926,1.552274376,0.561655973,0.422988183,0.007387523,0.655222833,0.684231654,1,0.748703691,0.147,33,0.542305556,7.85E-10,0.519630599,0.408781802,0.706256036,112.3,0.827605809,0.852170908,0.852170908,0.428033247,0.568093037,0.853,0.852170908,0.706270896,0.520124121,0.853,0.852170908,0.737947038,0.703221732,0.147829092,0.147829092,0.854099989,0.853,0.851279625,0.147,0.147,0.853,0.853,0.88073374,0.823608075,0.851014206,0.857185772,0.11926626,0.176391925,0.148985794,0.142814228,0.853,0.86424917,0.706256036,0.704341816,0.708199977,6.902304342,0.155828079,62.72071669,106.4,85.2,19,14,224.6,120.4,104.2,125.4,99.2,0.536059524,0.865059776,0.300217795,0.855970741,0.873690846,0.147,0.300848107,0.76771261,0.6604479,0.49533704,0.679261011,0.852170908,0.847286562,0.215969416,0.899746044,0.704341816,0.704341816,1.587652623,5,0.016496032,0.806661233,0.761955114,0.850535481,0.920901899,0.841765728,0.86123076,0.890099837,0.865059776,0.865873973,0.731747946,33,0.841648109
8,0.865575397,0.506697551,0.50626388,0.728325553,0.734174545,0.731150794,0.04459134,0.728024156,0.728024156,0.731150794,0.81572458,0.022034342,0.908762708,123.087086,0.548111126,0.72949345,0.98587615,0.993471989,0.996009914,1.531336255,0.537864266,0.448011884,0.002537925,0.692128581,0.709090909,1,0.766005015,0.134424603,30.2,0.543178571,1.37E-12,0.498833979,0.393766559,0.72949345,112.3,0.841090801,0.862840781,0.862840781,0.451397498,0.583076182,0.865575397,0.862840781,0.72950819,0.548597233,0.865575397,0.862840781,0.756649084,0.728629459,0.137159219,0.137159219,0.866667409,0.865575397,0.864012078,0.134424603,0.134424603,0.865575397,0.865575397,0.899059015,0.826622547,0.855559055,0.877775762,0.100940985,0.173377453,0.144440945,0.122224238,0.865575397,0.876692494,0.72949345,0.725681562,0.733334818,5.910458252,0.129581217,74.6015699,108.4,86,18.2,12,224.6,120.4,104.2,126.6,98,0.536035714,0.877000682,0.302967258,0.863871742,0.889956853,0.134424603,0.303184093,0.785177071,0.672743371,0.472933508,0.659548262,0.862840781,0.857596216,0.201389363,0.944841646,0.725681562,0.725681562,1.598591441,6.2,0.013799603,0.822565016,0.799454387,0.861967548,0.936586486,0.850803399,0.878356157,0.899059015,0.877000682,0.877309035,0.75461807,30.2,0.855559055
9,0.819170635,0.504790676,0.504399967,0.635330544,0.641618685,0.63834127,0.048223827,0.634964329,0.634964329,0.63834127,0.729849244,0.02390643,0.866027238,101.9100006,0.453585547,0.636172398,0.991332805,0.993680059,0.995947839,1.611803923,0.618123865,0.373208941,0.00226778,0.593584059,0.609105748,1,0.706140591,0.180829365,40.6,0.540503968,3.10E-05,0.575087733,0.451415411,0.636172398,112.3,0.799164802,0.81780208,0.81780208,0.376007467,0.516846474,0.819170635,0.81780208,0.636176026,0.453128367,0.819170635,0.81780208,0.686406793,0.635777261,0.18219792,0.18219792,0.818373946,0.819170635,0.817482164,0.180829365,0.180829365,0.819170635,0.819170635,0.845337622,0.790266537,0.821228301,0.815519591,0.154662378,0.209733463,0.178771699,0.184480409,0.819170635,0.832733671,0.636172398,0.63560416,0.636747892,6.475525324,0.222408666,68.5031812,102,82,22.2,18.4,224.6,120.4,104.2,124.2,100.4,0.536059524,0.833008221,0.296729745,0.825705879,0.840156603,0.180829365,0.2969251,0.72633612,0.603490927,0.550618802,0.72354286,0.81780208,0.814977562,0.261661241,0.816204277,0.63560416,0.63560416,1.530055265,3.8,0.012025794,0.781451276,0.710820197,0.8169262,0.848005053,0.808343091,0.824797459,0.851230652,0.833008221,0.833282962,0.666565923,40.6,0.815335271
